Latitude,Longitude,Road_Name,Risk_Level,Risk_Reason,Suggested_Alternative
36.8188,10.1650,Street A,2,Slippery in rain,Street B
36.8000,10.1500,Street B,0,Safe,Street C
36.8500,10.2000,Street C,1,Accident history,Street D
36.7800,10.1400,Street D,0,Safe,Street A
36.8200,10.2200,Street E,2,Poor lighting at night,Street C
36.7900,10.1700,Street F,1,Moderate traffic,Street G
36.8350,10.1800,Street G,2,Narrow lanes,Street H
36.8100,10.1600,Street H,0,Safe,Street F
36.8300,10.2100,Street I,1,Potholes,Street J
36.8050,10.1900,Street J,2,High accident rate,Street I
36.8250,10.1750,Street K,0,Safe,Street L
36.8150,10.2000,Street L,1,Slippery when wet,Street K
36.8400,10.1950,Street M,2,Sharp curves,Street N
36.8000,10.1850,Street N,0,Safe,Street M
36.8350,10.2050,Street O,1,Construction zone,Street P
36.8200,10.1950,Street P,2,Flood-prone area,Street O
36.8100,10.1800,Street Q,0,Safe,Street R
36.8300,10.2150,Street R,1,Moderate traffic,Street Q
36.8250,10.2050,Street S,2,Accident history,Street T
36.8150,10.1900,Street T,0,Safe,Street S
